frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,1,-30,0X1C3A0,115616,True,1.93
950,1,-30,0X1C3A8,115624,True,1.85
950,1,-30,0X1C3B0,115632,True,1.83
950,1,-30,0X1C3B8,115640,True,1.74
950,1,-30,0X1C3C0,115648,True,1.59
950,1,-30,0X1C3C8,115656,True,1.57
950,1,-30,0X1C3D0,115664,True,1.43
950,1,-30,0X1C3D8,115672,True,1.38
950,1,-30,0X1C3E0,115680,True,1.33
950,1,-30,0X1C3E8,115688,True,1.23
950,1,-30,0X1C3F0,115696,True,1.14
950,1,-30,0X1C3F8,115704,True,1.08
950,1,-30,0X1C400,115712,True,1.02
950,1,-30,0X1C408,115720,True,0.94
950,1,-30,0X1C410,115728,True,0.85
950,1,-30,0X1C418,115736,True,0.81
950,1,-30,0X1C420,115744,True,0.72
950,1,-30,0X1C428,115752,True,0.67
950,1,-30,0X1C430,115760,True,0.58
950,1,-30,0X1C438,115768,True,0.51
950,1,-30,0X1C440,115776,True,0.45
950,1,-30,0X1C448,115784,True,0.4
950,1,-30,0X1C450,115792,True,0.28
950,1,-30,0X1C458,115800,True,0.23
950,1,-30,0X1C460,115808,True,0.18
950,1,-30,0X1C468,115816,True,0.1
950,1,-30,0X1C470,115824,True,0.01
950,1,-30,0X1C478,115832,True,-0.01
950,1,-30,0X1C480,115840,True,-0.08
950,1,-30,0X1C488,115848,True,-0.15
950,1,-30,0X1C490,115856,True,-0.25
950,1,-30,0X1C498,115864,True,-0.3
950,1,-30,0X1C4A0,115872,True,-0.33
950,1,-30,0X1C4A8,115880,True,-0.42
950,1,-30,0X1C4B0,115888,True,-0.46
950,1,-30,0X1C4B8,115896,True,-0.49
950,1,-30,0X1C4C0,115904,True,-0.58
950,1,-30,0X1C4C8,115912,True,-0.59
950,1,-30,0X1C4D0,115920,True,-0.67
950,1,-30,0X1C4D8,115928,True,-0.7
950,1,-30,0X1C4E0,115936,True,-0.77
950,1,-30,0X1C4E8,115944,True,-0.88
950,1,-30,0X1C4F0,115952,True,-0.96
950,1,-30,0X1C4F8,115960,True,-0.97
950,1,-30,0X1C500,115968,True,-1.08
950,1,-30,0X1C508,115976,True,-1.09
950,1,-30,0X1C510,115984,True,-1.15
950,1,-30,0X1C518,115992,True,-1.2
950,1,-30,0X1C520,116000,True,-1.27
950,1,-30,0X1C528,116008,True,-1.33
950,1,-30,0X1C530,116016,True,-1.39
950,1,-30,0X1C538,116024,True,-1.44
950,1,-30,0X1C540,116032,True,-1.49
950,1,-30,0X1C548,116040,True,-1.56
950,1,-30,0X1C550,116048,True,-1.5
950,1,-30,0X1C558,116056,True,-1.74
950,1,-30,0X1C560,116064,True,-1.73
950,1,-30,0X1C570,116080,True,-1.86
950,1,-30,0X1C578,116088,True,-1.89
950,1,-30,0X1C580,116096,True,-1.93
950,1,-30,0X1C598,116120,True,-2.08
950,1,-30,0X1C5A0,116128,True,-2.1
950,1,-30,0X1C5A8,116136,True,-2.17
950,1,-25,0X1C000,114688,True,37.62
950,1,-25,0X1C008,114696,True,37.59
950,1,-25,0X1C010,114704,True,35.38
950,1,-25,0X1C018,114712,True,33.21
950,1,-25,0X1C020,114720,True,31.24
950,1,-25,0X1C028,114728,True,29.57
950,1,-25,0X1C030,114736,True,28.17
950,1,-25,0X1C038,114744,True,26.92
950,1,-25,0X1C040,114752,True,25.83
950,1,-25,0X1C048,114760,True,24.88
950,1,-25,0X1C050,114768,True,23.95
950,1,-25,0X1C058,114776,True,23.16
950,1,-25,0X1C060,114784,True,22.4
950,1,-25,0X1C068,114792,True,21.75
950,1,-25,0X1C070,114800,True,21.11
950,1,-25,0X1C078,114808,True,20.57
950,1,-25,0X1C080,114816,True,19.99
950,1,-25,0X1C088,114824,True,19.47
950,1,-25,0X1C090,114832,True,18.97
950,1,-25,0X1C098,114840,True,18.5
950,1,-25,0X1C0A0,114848,True,18.05
950,1,-25,0X1C0A8,114856,True,17.67
950,1,-25,0X1C0B0,114864,True,17.31
950,1,-25,0X1C0B8,114872,True,16.89
950,1,-25,0X1C0C0,114880,True,16.53
950,1,-25,0X1C0C8,114888,True,16.17
950,1,-25,0X1C0D0,114896,True,15.8
950,1,-25,0X1C0D8,114904,True,15.45
950,1,-25,0X1C0E0,114912,True,15.16
950,1,-25,0X1C0E8,114920,True,14.81
950,1,-25,0X1C0F0,114928,True,14.56
950,1,-25,0X1C0F8,114936,True,14.25
950,1,-25,0X1C100,114944,True,14.02
950,1,-25,0X1C108,114952,True,13.74
950,1,-25,0X1C110,114960,True,13.45
950,1,-25,0X1C118,114968,True,13.19
950,1,-25,0X1C120,114976,True,12.95
950,1,-25,0X1C128,114984,True,12.69
950,1,-25,0X1C130,114992,True,12.44
950,1,-25,0X1C138,115000,True,12.24
950,1,-25,0X1C140,115008,True,11.96
950,1,-25,0X1C148,115016,True,11.75
950,1,-25,0X1C150,115024,True,11.55
950,1,-25,0X1C158,115032,True,11.3
950,1,-25,0X1C160,115040,True,11.09
950,1,-25,0X1C168,115048,True,10.87
950,1,-25,0X1C170,115056,True,10.72
